index,capacity,lat,lon,name,post_code,station_id
143,19,44.878494,-0.58501,Jean Moulin,33075,144
144,17,44.87904,-0.57057,Berges du Lac,33063,145
145,30,44.888924,-0.567781,Palais des Congres,33063,146
146,30,44.89297,-0.566224,Parc des Expositions,33063,147
147,14,44.885965,-0.541447,Berges de Garonne,33063,148
148,20,44.87889,-0.51783,Lauriers,33249,149
149,19,44.849293,-0.496694,Feydeau,33013,150
150,20,44.84563,-0.510532,Dravemont,33167,151
151,20,44.79967,-0.569953,Hopital Robert Picque,33550,152
152,20,44.7923,-0.581696,Parc Sourreil,33550,153
153,20,44.79209,-0.591518,Thouars,33522,154
154,24,44.791485,-0.613107,Village 6 IUT,33192,155
155,20,44.844305,-0.658912,Hotel de Ville Merignac,33281,156
156,20,44.85682,-0.659829,Les Pins,33281,157
157,20,44.85858,-0.668345,Le Haillan Rostand,33200,158
158,24,44.897846,-0.582511,Camping International,33075,159
159,10,44.912045,-0.724596,Eglise St Aubin,33376,160
160,13,44.904766,-0.668951,Le Taillan Mairie,33519,161
161,20,44.798195,-0.551517,Gare de Begles,33039,162
162,20,44.785689,-0.565509,Lycee Vaclav Havel,33039,163
163,15,44.787525,-0.655167,Hopital Haut Leveque,33318,164
164,20,44.79828,-0.663053,France Alouette,33318,165
165,20,44.88192,-0.565221,Centre commercial du Lac,33063,166
166,19,44.884285,-0.690917,Centre Commercial St Medard,33449,167
167,20,44.90906,-0.630657,Mairie de Blanquefort,33056,168
168,20,44.872397,-0.59081,Bruges La Vache,33075,169
169,20,44.866152,-0.560843,Lucien Faure,33063,170
170,20,44.82993,-0.581409,Place Amedee Larrieu,33063,171
171,28,44.86178,-0.551499,La Cite du Vin,33063,172
172,20,44.86749,-0.5481,Rue Achard,33063,173
173,41,44.84918,-0.562409,Darwin,33063,174
174,20,44.826054,-0.531631,Arena,33167,175
175,20,44.869064,-0.556399,Musee Mer Marine,33063,176
176,24,44.813274,-0.55517,Cite numerique,33039,177
177,20,44.854004,-0.537826,Jean Jaures,33119,178
178,23,44.8474,-0.587664,Rue Paulin,33063,179
179,20,44.947134,-0.605732,L'Art Y Show,33312,180
180,20,44.866214,-0.60529,Mairie du Bouscat,33069,181
181,20,44.873805,-0.629383,Hippodrome,33069,182
182,12,44.892104,-0.667966,Cantinolle,33162,183
183,20,44.877905,-0.534293,Lormont bas,33249,184
184,20,44.869373,-0.56634,Place Latule,33063,185
185,20,44.807389,-0.574862,Bagatelle,33522,186
186,40,44.823285,-0.554574,Belcier Gare,33063,251
